NQUEST,AREA5,YL,YT,YM,YC,CD,CN,S,AR,AF,PF,BD,ANASC,ETA,Q
22099,4,0.0,0.0,14400.0,4808.297233,0,19200.0,8.297233,66500.0,1000.0,0,3500,1987,17,3
22168,4,0.0,11000.0,0.0,0.0,0,10200.0,800.0,1000.0,0.0,500,8000,1958,46,3
22168,4,0.0,11000.0,0.0,0.0,0,10200.0,800.0,1000.0,0.0,500,8000,1956,48,3
22168,4,0.0,11000.0,0.0,0.0,0,10200.0,800.0,1000.0,0.0,500,8000,1985,19,3
22169,4,0.0,8160.0,0.0,6000.0,0,13800.0,360.0,152000.0,0.0,0,9000,1944,60,3
22169,4,0.0,8160.0,0.0,6000.0,0,13800.0,360.0,152000.0,0.0,0,9000,1937,67,3
22169,4,0.0,8160.0,0.0,6000.0,0,13800.0,360.0,152000.0,0.0,0,9000,1973,31,3
22173,4,7200.0,9100.0,0.0,0.0,0,12000.0,4300.0,4000.0,0.0,0,13500,1938,66,3
22173,4,7200.0,9100.0,0.0,0.0,0,12000.0,4300.0,4000.0,0.0,0,13500,1935,69,3
22173,4,7200.0,9100.0,0.0,0.0,0,12000.0,4300.0,4000.0,0.0,0,13500,1975,29,1
22208,2,0.0,29640.0,0.0,9264.04466,0,20400.0,18504.04466,202000.0,120000.0,0,6500,1921,83,3
22208,2,0.0,29640.0,0.0,9264.04466,0,20400.0,18504.04466,202000.0,120000.0,0,6500,1935,69,3
22222,2,0.0,12350.0,0.0,7737.71666,0,16800.0,3287.71666,250300.0,32000.0,0,10000,1927,77,3
22225,2,0.0,18200.0,42000.0,25311.24063,33100,50100.0,2311.240631,645000.0,367000.0,0,93000,1939,65,2
22225,2,0.0,18200.0,42000.0,25311.24063,33100,50100.0,2311.240631,645000.0,367000.0,0,93000,1943,61,3
22251,2,0.0,16700.0,0.0,3824.025291,0,15600.0,4924.025291,164000.0,27000.0,0,6000,1928,76,3
22251,2,0.0,16700.0,0.0,3824.025291,0,15600.0,4924.025291,164000.0,27000.0,0,6000,1930,74,3
22262,2,0.0,35400.0,0.0,22282.97233,0,40200.0,17482.97233,795000.0,10000.0,0,25000,1941,63,3
22262,2,0.0,35400.0,0.0,22282.97233,0,40200.0,17482.97233,795000.0,10000.0,0,25000,1946,58,3
22263,2,16000.0,10550.0,0.0,1892.048932,11000,17400.0,42.048932,3000.0,64000.0,0,10000,1931,73,3
22263,2,16000.0,10550.0,0.0,1892.048932,11000,17400.0,42.048932,3000.0,64000.0,0,10000,1960,44,1
22266,2,0.0,8450.0,0.0,15400.72617,400,21600.0,1850.726165,692040.0,45000.0,0,2000,1926,78,3
22266,2,0.0,8450.0,0.0,15400.72617,400,21600.0,1850.726165,692040.0,45000.0,0,2000,1926,78,3
22272,2,0.0,19877.0,2500.0,7566.217194,0,21600.0,8343.217194,125000.0,25000.0,0,2500,1944,60,3
22272,2,0.0,19877.0,2500.0,7566.217194,0,21600.0,8343.217194,125000.0,25000.0,0,2500,1941,63,3
22273,2,0.0,17940.0,0.0,6504.288837,0,20400.0,4044.288837,302000.0,19769.52223,0,6000,1921,83,3
22273,2,0.0,17940.0,0.0,6504.288837,0,20400.0,4044.288837,302000.0,19769.52223,0,6000,1924,80,3
22274,2,0.0,16900.0,0.0,430.3731356,14000,13920.0,-10589.62686,3000.0,38200.0,8000,25000,1947,57,3
22274,2,0.0,16900.0,0.0,430.3731356,14000,13920.0,-10589.62686,3000.0,38200.0,8000,25000,1945,59,3
22276,2,15000.0,13650.0,0.0,4230.872815,250,15000.0,17630.87282,110000.0,80000.0,0,13000,1949,55,1
22276,2,15000.0,13650.0,0.0,4230.872815,250,15000.0,17630.87282,110000.0,80000.0,0,13000,1923,81,3
22276,2,15000.0,13650.0,0.0,4230.872815,250,15000.0,17630.87282,110000.0,80000.0,0,13000,1924,80,3
22277,2,13000.0,0.0,13000.0,4244.511699,13000,25200.0,-7955.488301,35000.0,23000.0,0,33000,1957,47,1
